name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
鶯宿温泉,岩手県,雫石町,鴬宿,http://www.ousyukuonsen.com,3.88,4084,18,13,9,6,3,11,1,True,False,False,True,False,False,False,False,False,False
天童温泉,山形県,天童市,鎌田本町二丁目,http://www.tendoonsen.or.jp,4.16,4566,14,13,14,10,2,14,2,True,False,False,False,True,True,False,False,False,False
湯西川温泉,栃木県,日光市,湯西川,なし,4.32,7234,16,13,11,11,0,14,0,True,False,False,False,False,False,False,False,False,False
下部温泉,山梨県,身延町,上之平,http://www.shimobe.org,4.21,2328,18,13,7,3,2,14,0,True,True,False,True,False,False,False,False,False,False
月岡温泉,新潟県,新発田市,月岡温泉,http://www.tsukiokaonsen.gr.jp,4.44,7209,16,13,13,11,5,13,4,False,True,False,True,True,True,False,False,False,False
蓼科温泉,長野県,茅野市,北山,なし,4.20,5568,13,13,9,9,4,13,1,True,True,False,False,True,True,True,False,False,False
内海温泉,愛知県,南知多町,大字内海,http://utsumikannkou.main.jp,3.91,2603,17,13,14,9,2,16,0,True,True,False,False,False,False,False,False,False,False
湯の山温泉,三重県,菰野町,大字菰野,http://www.yunoyama-onsen.com,4.16,4636,13,13,11,9,3,13,0,True,True,True,True,False,True,False,False,False,False
勝浦温泉,和歌山県,那智勝浦町,大字勝浦,http://katsuuraonsen.jp,4.02,11037,13,13,8,6,1,13,1,True,True,False,True,False,False,False,False,False,False
湯本温泉,山口県,長門市,深川湯本,http://yumotoonsen.com,4.04,4034,13,13,12,8,2,11,1,True,False,False,False,False,False,False,False,False,False
古湯温泉,佐賀県,佐賀市,富士町大字古湯,http://www.fuji-spa.com,4.38,1428,14,13,10,6,2,13,1,True,False,False,False,False,True,False,False,False,False
長湯温泉,大分県,竹田市,直入町大字長湯,http://www.nagayu-onsen.com/index.php,4.55,1097,15,13,9,11,2,12,1,True,False,True,False,False,False,False,True,True,False
阿蘇内牧温泉,熊本県,阿蘇市,内牧,http://onsen.aso.ne.jp,4.08,4359,17,13,11,8,1,13,1,True,False,True,True,True,True,False,False,False,False
湯之谷温泉郷,新潟県,魚沼市,大湯温泉,http://www.yunotani.or.jp/onsenkyo.html,3.85,1404,18,13,10,8,1,13,0,True,False,False,False,True,False,False,False,False,False
小野川温泉,山形県,米沢市,小野川町,http://www.onogawa.jp/index.html/,4.30,2030,14,12,12,8,1,12,1,False,True,False,True,False,True,False,False,False,False
湯の小屋温泉,群馬県,みなかみ町,藤原,なし,4.11,3033,12,12,3,6,1,12,0,True,False,False,True,False,False,False,False,False,False
白子温泉,千葉県,白子町,中里,http://www.shirako-onsen.jp,4.29,1593,15,12,12,6,0,12,1,False,True,False,False,False,False,False,False,False,False
大平台温泉,神奈川県,箱根町,大平台,http://www.ohiradai.com,4.24,632,14,12,4,9,0,10,0,True,True,False,False,False,True,False,False,False,False
芦ノ湖温泉,神奈川県,箱根町,元箱根,なし,4.15,2864,13,12,8,7,1,11,2,True,False,False,True,False,False,False,False,False,False
美ヶ原温泉,長野県,松本市,大字里山辺,https://www.mcci.or.jp/www/utsukushi/,4.35,5132,13,12,10,9,2,12,0,True,False,False,False,False,False,False,False,False,False
日田温泉,大分県,日田市,隈一丁目,http://www.hita-onsen.com,4.28,3379,14,12,9,8,3,14,1,True,True,True,False,False,True,False,False,False,False
宝泉寺温泉,大分県,九重町,大字町田,http://www.housenji.jp,4.19,1701,15,12,6,12,0,12,1,True,True,False,False,False,False,False,False,False,False
人吉温泉,熊本県,人吉市,上青井町,http://hitoyoshionsen.net,4.15,3239,19,12,8,5,2,15,0,True,True,True,False,True,True,False,False,False,False
別所温泉,長野県,上田市,別所温泉,http://www.bessho-spa.jp/,4.39,3362,12,12,9,10,2,12,4,False,False,False,True,False,False,False,False,False,False
湯川温泉,岩手県,西和賀町,湯川,http://www.yamanoideyu.com/stay/index.html,4.34,1079,12,11,7,5,0,11,1,True,True,False,False,True,False,False,False,False,False
さくらんぼ東根温泉,山形県,東根市,温泉町一丁目,http://www.higashineonsen.com,4.04,893,14,11,9,4,1,9,0,True,True,True,True,True,False,False,False,False,False
両津温泉,新潟県,佐渡市,原黒,なし,3.82,1077,12,11,9,5,0,11,0,False,True,True,False,False,False,False,False,False,False
間人温泉郷,京都府,京丹後市,丹後町間人,なし,4.48,1244,11,11,9,7,1,11,3,True,False,False,False,True,True,False,False,False,False
天橋立温泉,京都府,宮津市,字文珠,なし,4.11,3348,11,11,9,9,1,11,3,False,True,True,False,False,False,False,True,False,False
洲本温泉,兵庫県,洲本市,海岸通一丁目,なし,4.21,12645,11,11,9,10,9,10,3,True,True,False,False,True,True,False,False,False,False
龍神温泉,和歌山県,田辺市,龍神村龍神,http://www.ryujin-kanko.jp/contents/spa/index.html,4.51,1734,11,11,6,3,0,11,0,False,False,True,False,False,False,False,False,False,False
湯郷温泉,岡山県,美作市,湯郷,http://spa-yunogo.or.jp,4.11,5502,12,11,11,9,2,11,0,False,True,False,False,True,False,False,False,False,False
武雄温泉,佐賀県,武雄市,武雄町大字昭和,http://www.takeo-kk.net,4.19,3786,13,11,9,6,2,11,1,True,False,False,False,False,False,False,False,False,False
雲仙温泉,長崎県,雲仙市,小浜町雲仙,http://www.unzen.org,4.44,3829,12,11,9,10,4,12,3,True,False,False,True,True,True,True,True,False,False
