都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,free H2s,free Co2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
大分県,Ｋａｍｅｋａｗａ,131,29,40,33,19,10,,不明,温泉・鉱泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,0.37,,1.69,0.153,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,"温泉の化学成分,温泉科学,1978"
大分県,Ｈｏｔｔａｋａｎｋａｉｊｉ,131,28,30,33,16,40,,不明,温泉・鉱泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,0.17,,0.083,0.027,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,"温泉の化学成分,温泉科学,1978"
大分県,ＢｅｐｐｕＰｒｏｐｅｒ,,,,,,,,不明,温泉・鉱泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,0.35,,0.089,0.144,,,,,,,,,,,,,,,,,,,,,,,24.9,,,,,,,,,,,"温泉の化学成分,温泉科学,1978"
大分県,中津市,,,,,,,,井戸,観測井,150,,,22,,,6.8,,,,,,,,,0.3,,,49.5,6.3,,,,56.3,68.6,,,,,,,0.3,,,,,,8.9,,,,,,,,,,,,,,549,,,,,,,,,34,,,5.5,,36.3,,,,,,,1971,"地下水利用適正化調査に係る地下水位等観測井についての資料,工業用水,1983"
大分県,宇佐市,,,,,,,,井戸,観測井,150,,,19.8,,,7.1,,,,,,,,,0.4,,,23,2.1,,,,3.1,5.1,,,,,,,0.05,,,,,,5.7,,,,,,,,,,,,,,43.9,,,,,,,,,34,,,6.7,,3.5,,,,,,,1971,"地下水利用適正化調査に係る地下水位等観測井についての資料,工業用水,1983"
大分県,豊後高田市,,,,,,,,井戸,観測井,150,,,20.8,,,6.9,,,,,,,,,0.3,,,39,4.4,,,,21.9,24.1,,,,,,,0.31,,,,,,10.6,,,,,,,,,,,,,,200,,,,,,,,,36.8,,,6.7,,19.4,,,,,,,1971,"地下水利用適正化調査に係る地下水位等観測井についての資料,工業用水,1983"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,100,,,8.4,,,,,,,,,,,,50.11,3.05,,,,0.07,2.3,,,,,,,,,,,,,49.38,,,,,,,,,4.73,,,,,0.95,,,,,,,,,,,,,,,,,,,,,1970,"炭酸成分影響下における温泉水質の形成,日本陸水学会第４９回大会（筑波）シンポ記録,1984"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,87,,,8.5,,,,,,,,,,,,18.31,0.48,,,,0.1,1.12,,,,,,,,,,,,,14.36,,,,,,,,,1.89,,,,,3.28,,,,,,,,,,,,,,,,,,,,,1970,"炭酸成分影響下における温泉水質の形成,日本陸水学会第４９回大会（筑波）シンポ記録,1984"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,62.3,,,8.49,,,,,,,,,,,,14.31,0.62,,,,1.31,0.32,,,,,,,,,,,,,7.67,,,,,,,,,1.31,,,,,7.08,,,,,,,,,,,,,,,,,,,,,1970,"炭酸成分影響下における温泉水質の形成,日本陸水学会第４９回大会（筑波）シンポ記録,1984"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,55.8,,,7.49,,,,,,,,,,,,12.61,0.77,,,,6.94,2.53,,,,,,,,,,,,,3.36,,,,,,,,,1.95,,,,,18.04,,,,,,,,,,,,,,,,,,,,,1970,"炭酸成分影響下における温泉水質の形成,日本陸水学会第４９回大会（筑波）シンポ記録,1984"
