都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,Free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
佐賀県,厳木温泉,,,,,,,,湧泉,温泉・鉱泉,,,,14.5,50,,6.2,,,0.9993,,1011,,,,,0.0006,,55.32,2.827,,,11.241,87.61,110.9,,,0.4,2.125,2.64,,,,,,,,12.17,,,,,,,,,617,,,,,97.82,0.018,,,,,,,,,,,,,148.2,,,,,,,1968-02-27 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,岩屋温泉,,,,,,,,湧泉,温泉・鉱泉,,,,19.7,60,,6.6,,,1.0011,,3249,,,,,0.0002,,747,7.819,,,0.3,59.8,141.6,,,0.334,1.2,1880,,,,,,,,13.97,,,,,,,,,1802,,,,,461.2,0.12,,,0.004,,,,,,,1696,,,277.2,,,,,,,1971-02-25 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,佐里温泉,,,,,,,,井戸,温泉・鉱泉,540,,,36.5,50,,9.2,,,0.9987,,588,,,,,,,196.8,30.2,,,,0.522,10.34,,,0.16,,0.1,,,,,,,,120.2,,,0.272,,,,,,191.9,,,,,77.03,7.189,,,12.16,,,,,,,13.06,,0.003,0.114,,,,,,,1967-02-02 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,川上温泉,,,,,,,,井戸,温泉・鉱泉,450,,,21.5,60,,7,,,1.0007,,2456,,,,,,,425.6,46.13,,,,107.5,317.6,,,0.01,0.24,0.4,,,,,,,,179.4,,,,,,,,,4.115,,,,,2452,1.41,,,0.094,,,,,,,15.49,,,589.2,,,,,,,1967-02-23 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,古湯温泉,130,12,30,33,22,10,,湧泉,温泉・鉱泉,,,,34.5,80,,9,,,0.9972,,159,,,,,,,39.1,5.078,,,,2.451,8.08,,,0.012,,0.03,,,,,,,,23.27,,,0.17,,,,,,14.79,,,,,77.85,4.59,,,,,,,,,,,,,0.184,,,,,,,1965-07-21 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,古湯温泉,130,12,30,33,22,10,,井戸,温泉・鉱泉,164.5,,,43,90,,9.5,,,0.9972,,186,,,,,,,48.43,5.839,,,,1.838,5.05,,,0.337,,0.13,,,,,,,,25.07,,,0.544,,,,,,16.52,,,,,62.97,11.61,,,,,,,,,,,,,0.048,,,,,,,1965-07-21 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,古湯温泉,130,12,30,33,22,10,,井戸,温泉・鉱泉,250,,,35,124,,9.5,,,0.9986,,149.5,,,,,,,50.96,3.123,,,,0.507,2.51,,,0.016,,0.142,,,,,,,,24.01,,,0.544,,,,,,19.25,,,,,50.14,13.88,,,,,,,,,,,,,0.039,,,,,,,1967-07-10 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,古湯温泉,130,12,30,33,22,10,,井戸,温泉・鉱泉,205,,,40.5,70,,9.6,,,0.9983,,199.5,,,,,,,62.19,13.06,,,,0.127,1.464,,,0.12,,0.1,,,,,,,,25.88,,,0.68,,,,,,17.61,,,,,86.09,20.33,,,,,,,,,,,,,0.048,,,,,,,1967-10-06 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,熊ノ川温泉,130,14,30,33,21,50,,湧泉,温泉・鉱泉,,,,32,20,,8.5,,,1.0012,,157,,,,,,,42.09,1.607,,,,1.15,5.428,,,0.07,,0.122,,,,,,,,22.39,,,0.054,,,,,,15.3,,,,,83.52,1.542,,,,,,,,,,,,,0.902,,,,,,,1966-11-05 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
佐賀県,武雄溝ノ上温泉,,,,,,,,井戸,温泉・鉱泉,100,,,26.9,39,,8.9,,,0.9996,,174,,,,,,,62.5,7.938,,,0.032,0.158,2.701,,,0.055,,0.076,,,,,,,,18.27,,,0.136,,,,,,6.502,,,,,165.2,7.507,,,0.867,,,,,,,1.923,,0.009,0.516,,,,,,,1969-12-24 00:00:00,"佐賀県の温泉について（第7報）,佐賀県衛研所報,1971"
